A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/5.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/5.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shenyang,PM2.5,1/9/2017 13:00,2017,1,9,13,17,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 14:00,2017,1,9,14,25,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 15:00,2017,1,9,15,12,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 16:00,2017,1,9,16,28,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 17:00,2017,1,9,17,22,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 18:00,2017,1,9,18,34,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 19:00,2017,1,9,19,34,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 20:00,2017,1,9,20,31,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 21:00,2017,1,9,21,42,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 22:00,2017,1,9,22,50,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/9/2017 23:00,2017,1,9,23,47,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 0:00,2017,1,10,0,68,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 1:00,2017,1,10,1,70,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 2:00,2017,1,10,2,43,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 3:00,2017,1,10,3,19,µg/m³,1 Hr,Valid
Shenyang,PM2.5,1/10/2017 4:00,2017,1,10,4,11,µg/m³,1 Hr,Valid
